time(hours:minutes:seconds:milliseconds:microseconds), Injector Temperature, Vent Temperature, N/A, Combustion Temperature, Injector Pressure, Tank Pressure, Feed Pressure, Load Cell 1, Load Cell 2
17:04:05:646:439,14.11,1.21,-273.15,14.31,191.61,331.03,287.6,79492.70,33982.22
17:04:05:733:937,14.11,1.18,-273.15,14.31,160.18,326.19,287.6,77662.65,33060.23
17:04:05:821:070,14.11,1.13,-273.15,14.31,140.84,319.74,287.6,75681.75,32203.24
17:04:05:908:299,14.11,1.1,-273.15,14.33,127.14,311.68,287.6,73495.25,31261.82
17:04:05:995:654,14.11,1.04,-273.15,14.33,115.86,302.01,287.6,71071.20,30225.98
17:04:06:082:852,14.13,1.02,-273.15,14.33,107.0,293.96,287.6,68441.63,29107.51
17:04:06:170:210,14.13,0.96,-273.15,14.33,98.94,284.29,287.6,65719.64,27893.11
17:04:06:257:604,14.11,0.93,-273.15,14.33,90.07,275.42,287.6,62967.61,26578.98
17:04:06:344:662,14.13,0.88,-273.15,14.36,85.24,265.75,287.6,60365.20,25153.96
17:04:06:431:017,14.11,0.82,-273.15,14.33,77.99,256.89,287.6,57973.74,23696.69
17:04:06:519:222,14.13,0.77,-273.15,14.36,73.15,247.22,287.6,55770.09,22237.49
17:04:06:606:611,14.13,0.74,-273.15,14.36,68.32,238.35,287.6,53676.71,20755.34
17:04:06:693:888,14.16,0.69,-273.15,14.36,63.48,229.49,287.6,51682.63,19259.55
17:04:06:781:213,14.16,0.63,-273.15,14.38,60.26,221.43,287.6,49837.42,17732.60
17:04:06:868:466,14.16,0.6,-273.15,14.41,56.23,213.37,287.6,48083.12,14726.67
17:04:06:955:698,14.16,0.52,-273.15,14.41,52.2,205.31,287.6,46335.29,13259.13
17:04:07:042:814,14.16,0.49,-273.15,14.41,49.78,198.06,287.6,44651.21,11742.04
17:04:07:130:204,14.16,0.44,-273.15,14.41,46.56,190.0,287.6,43041.01,10204.96
17:04:07:217:754,14.16,0.38,-273.15,14.41,43.33,182.75,287.6,41606.34,8765.33
17:04:07:304:711,14.16,0.33,-273.15,14.41,40.11,176.3,287.6,40410.55,7501.10
17:04:07:391:833,14.18,0.27,-273.15,14.41,36.89,169.85,287.6,39455.34,6402.76
17:04:07:479:150,14.16,0.21,-273.15,14.41,34.47,163.41,287.6,38694.42,5425.64
17:04:07:566:394,14.16,0.16,-273.15,14.43,32.05,156.15,287.6,38071.60,4543.97
17:04:07:653:555,14.18,0.07,-273.15,14.43,29.63,150.51,287.6,37578.01,3744.87
17:04:07:741:068,14.18,0.05,-273.15,14.43,28.02,144.87,287.6,37119.64,2965.06
17:04:07:828:252,14.18,-0.01,-273.15,14.46,25.6,138.42,287.6,36636.11,2221.43
17:04:07:915:532,14.18,-0.06,-273.15,14.48,23.99,132.78,287.6,36152.72,1518.26
17:04:08:002:520,14.18,-0.15,-273.15,14.46,20.77,127.95,287.6,35689.39,839.49
17:04:08:089:708,14.21,-0.2,-273.15,14.48,19.16,123.11,287.6,35253.07,189.25
17:04:08:177:396,14.18,-0.29,-273.15,14.48,17.55,117.47,287.6,34804.89,-429.63
17:04:08:264:978,14.21,-0.34,-273.15,14.48,15.93,113.44,287.6,34328.46,-1018.75
17:04:08:351:016,14.21,-0.4,-273.15,14.48,14.32,108.61,287.6,33851.48,-1572.50
17:04:08:439:390,14.21,-0.49,-273.15,14.5,11.9,103.77,287.6,33394.62,-2581.94
17:04:08:526:634,14.21,-0.51,-273.15,14.5,10.29,99.74,287.6,32951.34,-3037.28
17:04:08:613:076,14.21,-0.6,-273.15,14.5,8.68,95.71,287.6,32529.57,-3484.77
17:04:08:701:163,14.21,-0.68,-273.15,14.53,7.88,91.68,287.6,32124.74,-3930.94
17:04:08:788:667,14.21,-0.74,-273.15,14.53,6.26,87.66,287.6,31722.19,-4359.82
17:04:08:875:799,14.21,-0.79,-273.15,14.55,5.46,83.63,287.6,31350.31,-4781.81
17:04:08:962:973,14.21,-0.88,-273.15,14.55,3.85,80.4,287.6,31022.75,-5197.24
17:04:09:050:240,14.21,-0.94,-273.15,14.58,3.04,77.18,287.6,30728.88,-5605.65
17:04:09:137:414,14.21,-0.99,-273.15,14.58,1.43,73.96,287.6,30465.61,-6015.92
17:04:09:224:754,14.23,-1.08,-273.15,14.58,0.62,70.73,287.6,30237.22,-6422.74
17:04:09:311:999,14.23,-1.13,-273.15,14.58,-0.18,67.51,287.6,30024.47,-6822.74
17:04:09:399:195,14.23,-1.22,-273.15,14.6,-0.18,64.29,287.6,29817.37,-7199.04
17:04:09:486:483,14.23,-1.28,-273.15,14.6,-0.99,61.87,287.6,29627.64,-7560.17
17:04:09:573:803,14.26,-1.33,-273.15,14.6,-0.99,58.64,287.6,29469.47,-7911.23
17:04:09:661:049,14.23,-1.42,-273.15,14.63,-1.79,56.23,287.6,29354.31,-8253.48
17:04:09:748:333,14.26,-1.48,-273.15,14.63,-1.79,53.81,287.6,29270.78,-8584.77
17:04:09:835:584,14.26,-1.53,-273.15,14.65,-1.79,51.39,288.0,29205.31,-8901.65
17:04:09:922:776,14.26,-1.59,-273.15,14.65,-3.41,48.97,287.6,29159.07,-9479.39
17:04:10:010:150,14.26,-1.65,-273.15,14.68,-3.41,46.56,288.0,29120.06,-9721.09
17:04:10:097:439,14.28,-1.73,-273.15,14.68,-3.41,44.95,287.6,29084.01,-9949.07
17:04:10:184:800,14.26,-1.79,-273.15,14.68,-4.21,42.53,287.6,29050.24,-10154.03
17:04:10:272:290,14.26,-1.85,-273.15,14.68,-4.21,40.92,288.0,29039.08,-10339.56
17:04:10:359:449,14.26,-1.93,-273.15,14.68,-4.21,38.5,288.0,29029.22,-10509.10
17:04:10:446:806,14.28,-1.99,-273.15,14.73,-4.21,36.89,287.6,29013.30,-10655.20
17:04:10:533:969,14.28,-2.02,-273.15,14.73,-4.21,34.47,288.0,28979.26,-10779.60
17:04:10:621:399,14.28,-2.11,-273.15,14.73,-5.02,32.86,288.0,28940.04,-10874.36
17:04:10:708:588,14.28,-2.16,-273.15,14.75,-5.02,31.25,287.6,28899.11,-10959.41
17:04:10:795:894,14.28,-2.22,-273.15,14.75,-5.02,29.63,288.0,28850.93,-11038.18
17:04:10:883:187,14.28,-2.28,-273.15,14.78,-5.82,28.02,288.0,28802.76,-11110.27
17:04:10:970:359,14.28,-2.34,-273.15,14.78,-5.82,27.22,287.6,28758.10,-11178.50
17:04:11:057:781,14.28,-2.4,-273.15,14.8,-5.82,25.6,287.6,28715.16,-11241.21
